数据编号,槽开口宽度Bs0（mm）,永磁体轴向长度/动子极距            a,气隙厚度gap（mm）,线圈径向宽度rcoil（mm）,永磁体径向长度rpm（mm）,平均推力（N）,推力波动（N）,平均铜损(W),平均铁损(W),,,,,,,平均铜损(mW),平均铁损(mW)
75,-0.141990459,0.447213595,1.341640786,-1.224744871,0.878310066,93.62668695,31.07261217,19.05126592,0.855680261,,,,,,,23452.95499,855.6802607
76,0.99393321,0.447213595,-1.341640786,1.224744871,-0.292770022,84.15942653,49.11585962,23.23624866,0.772417982,,,,,,,23452.95499,772.4179819
77,-0.141990459,0.447213595,-1.341640786,1.224744871,-1.463850109,78.38832997,58.67697872,22.368697,1.082073621,,,,,,,17844.89606,1082.073621
78,0.283980917,0.447213595,-1.341640786,-1.224744871,1.463850109,89.71926779,73.52370329,18.87903457,1.033678576,,,,,,,17844.89606,1033.678576
79,0.99393321,0.447213595,-1.341640786,1.224744871,0.878310066,114.112875,84.93184708,24.1026702,1.232703371,,,,,,,20496.548,1232.703371
80,0.283980917,1.341640786,1.341640786,1.224744871,-0.878310066,90.010123,40.05558495,23.45295499,1.17804257,,,,,,,20496.548,1178.04257
81,0.283980917,1.341640786,1.341640786,1.224744871,0.878310066,112.692113,52.97455831,24.75181749,1.400174442,,,,,,,23236.24866,1400.174442
82,0.99393321,1.341640786,1.341640786,-1.224744871,0.878310066,100.4561488,51.03100918,19.05126592,1.323493753,,,,,,,23236.24866,1323.493753
83,0.283980917,0.447213595,1.341640786,-1.224744871,1.463850109,104.5839852,48.84289507,19.3956301,0.933739987,,,,,,,18017.34701,933.7399867
84,0.283980917,0.447213595,-1.341640786,1.224744871,-0.878310066,94.53538333,54.07946798,22.80262232,0.877722997,,,,,,,18017.34701,877.7229973
85,0.709952293,-0.447213595,1.341640786,-1.224744871,0.292770022,84.85457866,24.09786425,18.70676915,1.0398019,,,,,,,20691.05537,1039.8019
86,0.283980917,1.341640786,-1.341640786,-1.224744871,-1.463850109,68.26836802,35.16620488,17.15467555,0.978809272,,,,,,,20691.05537,978.8092717
87,0.709952293,-0.447213595,1.341640786,-1.224744871,0.878310066,88.2078986,24.09800358,19.05126592,1.168639198,,,,,,,23452.95499,1168.639198
88,0.99393321,0.447213595,-1.341640786,-1.224744871,-0.878310066,81.05464712,46.58605451,17.49987165,1.099241115,,,,,,,23452.95499,1099.241115
